0	1	2	3	4	5	6	7	8	9	10
0	3	5.5	9	11	13.5	15	18	20.5	22.5	25.5
1	1	1.00374299499424	1.01118742080783	1.01488915650922	1.01118742080783	1.03319891598859	1.03319891598859	1.02591422643416	1.03319891598859	1.03319891598859
0	5	8.5	13	15.5	19	22	25	28.5
1	1.00374299499424	1.00374299499424	1.00374299499424	1.00374299499424	1.00374299499424	1.00374299499424	1.00374299499424	1.01118742080783
